Entity,Code,Year,Low-carbon energy per capita (kWh - equivalent)
Argentina,ARG,2015,2931.0867
Argentina,ARG,2016,2799.0698
Argentina,ARG,2017,2823.634
Argentina,ARG,2018,2904.2786
Argentina,ARG,2019,2945.8323
Argentina,ARG,2020,2937.7812
Argentina,ARG,2021,2963.528
Argentina,ARG,2022,3229.1875
Asia,,1965,222.4245
Asia,,1966,227.29173
Asia,,1967,207.64932
Asia,,1968,225.78279
Asia,,1969,229.66249
Asia,,1970,235.11453
Asia,,1971,254.54523
Asia,,1972,258.9858
Asia,,1973,238.1889
Asia,,1974,275.5091
Asia,,1975,295.76294
Asia,,1976,308.17447
Asia,,1977,294.32138
Asia,,1978,339.0221
Asia,,1979,371.74564
Asia,,1980,401.34485
Asia,,1981,422.27798
Asia,,1982,439.2546
Asia,,1983,470.55658
Asia,,1984,493.14645
Asia,,1985,578.3225
Asia,,1986,583.6191
Asia,,1987,623.95123
Asia,,1988,650.37463
Asia,,1989,658.6123
Asia,,1990,680.6918
Asia,,1991,690.32477
Asia,,1992,689.0442
Asia,,1993,750.6941
Asia,,1994,758.61127
Asia,,1995,816.66675
Asia,,1996,820.58215
Asia,,1997,832.46204
Asia,,1998,863.46246
Asia,,1999,849.4174
Asia,,2000,865.00214
Asia,,2001,889.4489
Asia,,2002,902.9563
Asia,,2003,866.6589
Asia,,2004,990.0952
Asia,,2005,1015.8218
Asia,,2006,1073.6705
Asia,,2007,1079.7158
Asia,,2008,1151.9678
Asia,,2009,1148.3252
Asia,,2010,1277.0731
Asia,,2011,1232.6692
Asia,,2012,1260.8494
Asia,,2013,1358.304
Asia,,2014,1484.3783
Asia,,2015,1579.1453
Asia,,2016,1699.9823
Asia,,2017,1825.8799
Asia,,2018,1986.345
Asia,,2019,2184.792
Asia,,2020,2296.751
Asia,,2021,2508.676
Asia,,2022,2710.8423
Australia,AUS,1965,2084.9104
Australia,AUS,1966,1951.7322
Australia,AUS,1967,1982.8727
Australia,AUS,1968,2029.5337
Australia,AUS,1969,2166.213
Australia,AUS,1970,2453.9646
Australia,AUS,1971,2683.344
Australia,AUS,1972,2635.7896
Australia,AUS,1973,2768.2363
Australia,AUS,1974,3091.4663
Australia,AUS,1975,3282.5305
Australia,AUS,1976,3091.437
Australia,AUS,1977,2918.1785
Australia,AUS,1978,3112.8638
Australia,AUS,1979,2992.9883
Australia,AUS,1980,2791.2869
Australia,AUS,1981,2832.694
Australia,AUS,1982,2598.0852
Australia,AUS,1983,2419.8884
Australia,AUS,1984,2581.6687
Australia,AUS,1985,2703.5625
Australia,AUS,1986,2681.848
Australia,AUS,1987,2568.1492
Australia,AUS,1988,2706.073
Australia,AUS,1989,2663.2573
Australia,AUS,1990,2702.2617
Australia,AUS,1991,2813.9587
Australia,AUS,1992,2823.9597
Australia,AUS,1993,2872.3596
Australia,AUS,1994,2810.7297
Australia,AUS,1995,2718.3857
Australia,AUS,1996,2763.9421
Australia,AUS,1997,2741.234
Australia,AUS,1998,2705.3374
Australia,AUS,1999,2766.3467
Australia,AUS,2000,2737.685
Australia,AUS,2001,2645.2122
Australia,AUS,2002,2708.4856
Australia,AUS,2003,2773.6526
Australia,AUS,2004,2845.223
Australia,AUS,2005,3015.9136
Australia,AUS,2006,3042.29
Australia,AUS,2007,2875.358
Australia,AUS,2008,2653.844
Australia,AUS,2009,2732.027
Australia,AUS,2010,2955.301
Australia,AUS,2011,3965.6514
Australia,AUS,2012,3844.2527
Australia,AUS,2013,4383.1484
Australia,AUS,2014,3982.3477
Australia,AUS,2015,4223.8315
Australia,AUS,2016,4771.693
Australia,AUS,2017,4392.7925
Australia,AUS,2018,5387.0273
Australia,AUS,2019,5879.961
Australia,AUS,2020,6698.589
Australia,AUS,2021,7922.7705
Australia,AUS,2022,9172.805
Austria,AUT,1965,6541.6733
Austria,AUT,1966,7000.156
Austria,AUT,1967,7095.3643
Austria,AUT,1968,7253.062
Austria,AUT,1969,6645.0854
Austria,AUT,1970,8432.793
Austria,AUT,1971,6632.8647
Austria,AUT,1972,6777.8687
Austria,AUT,1973,7489.612
Austria,AUT,1974,8840.264
Austria,AUT,1975,9286.367
Austria,AUT,1976,8040.218
Austria,AUT,1977,9739.236
Austria,AUT,1978,9754.929
Austria,AUT,1979,11007.9
Austria,AUT,1980,11404.694
Austria,AUT,1981,12055.418
Austria,AUT,1982,12066.638
Austria,AUT,1983,11972.639
Austria,AUT,1984,10503.83
Austria,AUT,1985,12432.113
Austria,AUT,1986,12619.191
Austria,AUT,1987,14200.749
Austria,AUT,1988,14206.123
Austria,AUT,1989,14077.761
Austria,AUT,1990,12618.307
Austria,AUT,1991,12503.52
Austria,AUT,1992,13695.005
Austria,AUT,1993,14292.99
Austria,AUT,1994,13802.451
Austria,AUT,1995,14555.038
Austria,AUT,1996,13369.738
Austria,AUT,1997,14113.503
Austria,AUT,1998,14552.544
Austria,AUT,1999,15740.053
Austria,AUT,2000,16102.902
Austria,AUT,2001,15538.107
Austria,AUT,2002,15239.778
Austria,AUT,2003,12701.796
Austria,AUT,2004,14131.729
Austria,AUT,2005,14443.221
Austria,AUT,2006,14549.552
Austria,AUT,2007,15380.897
Austria,AUT,2008,15813.775
Austria,AUT,2009,16734.557
Austria,AUT,2010,15875.842
Austria,AUT,2011,14400.961
Austria,AUT,2012,17651.035
Austria,AUT,2013,17106.18
Austria,AUT,2014,16927.83
Austria,AUT,2015,15991.777
Austria,AUT,2016,16670.883
Austria,AUT,2017,16378.961
Austria,AUT,2018,15947.219
Austria,AUT,2019,17172.928
Austria,AUT,2020,17194.56
Austria,AUT,2021,16324.84
Austria,AUT,2022,15626.231
Azerbaijan,AZE,1985,563.22015
Azerbaijan,AZE,1986,339.3284
Azerbaijan,AZE,1987,333.45038
Azerbaijan,AZE,1988,284.3575
Azerbaijan,AZE,1989,280.96304
Azerbaijan,AZE,1990,660.04224
Azerbaijan,AZE,1991,690.1098
Azerbaijan,AZE,1992,675.98004
Azerbaijan,AZE,1993,926.81555
Azerbaijan,AZE,1994,691.8137
Azerbaijan,AZE,1995,583.2019
Azerbaijan,AZE,1996,571.7488
Azerbaijan,AZE,1997,632.7903
Azerbaijan,AZE,1998,717.4498
Azerbaijan,AZE,1999,549.6828
Azerbaijan,AZE,2000,553.82574
Azerbaijan,AZE,2001,461.48856
Azerbaijan,AZE,2002,704.24695
Azerbaijan,AZE,2003,846.49286
Azerbaijan,AZE,2004,927.8629
Azerbaijan,AZE,2005,995.4846
Azerbaijan,AZE,2006,817.5785
Azerbaijan,AZE,2007,752.89355
Azerbaijan,AZE,2008,696.9179
Azerbaijan,AZE,2009,707.5463
Azerbaijan,AZE,2010,1035.6885
Azerbaijan,AZE,2011,788.716
Azerbaijan,AZE,2012,526.3849
Azerbaijan,AZE,2013,444.81433
Azerbaijan,AZE,2014,391.3848
Azerbaijan,AZE,2015,479.00803
Azerbaijan,AZE,2016,569.26935
Azerbaijan,AZE,2017,504.12286
Azerbaijan,AZE,2018,518.0196
Azerbaijan,AZE,2019,472.18802
Azerbaijan,AZE,2020,340.77127
Azerbaijan,AZE,2021,391.18164
Azerbaijan,AZE,2022,469.34256
Bangladesh,BGD,1971,7.568028
Bangladesh,BGD,1972,7.4621134
Bangladesh,BGD,1973,13.757338
Bangladesh,BGD,1974,9.850171
Bangladesh,BGD,1975,17.258919
Bangladesh,BGD,1976,19.124786
Bangladesh,BGD,1977,16.537506
Bangladesh,BGD,1978,18.701193
Bangladesh,BGD,1979,21.191452
Bangladesh,BGD,1980,20.540087
Bangladesh,BGD,1981,21.451128
Bangladesh,BGD,1982,17.463715
Bangladesh,BGD,1983,21.50054
Bangladesh,BGD,1984,28.357735
Bangladesh,BGD,1985,22.772358
Bangladesh,BGD,1986,13.5404625
Bangladesh,BGD,1987,15.21305
Bangladesh,BGD,1988,19.437046
Bangladesh,BGD,1989,25.935122
Bangladesh,BGD,1990,24.396038
Bangladesh,BGD,1991,22.683018
Bangladesh,BGD,1992,21.153221
Bangladesh,BGD,1993,15.851429
Bangladesh,BGD,1994,21.663036
Bangladesh,BGD,1995,9.338388
Bangladesh,BGD,1996,18.228828
Bangladesh,BGD,1997,17.421244
Bangladesh,BGD,1998,20.56925
Bangladesh,BGD,1999,19.43257
Bangladesh,BGD,2000,17.143183
Bangladesh,BGD,2001,22.155485
Bangladesh,BGD,2002,16.300148
Bangladesh,BGD,2003,15.932247
Bangladesh,BGD,2004,15.590723
Bangladesh,BGD,2005,15.289142
Bangladesh,BGD,2006,15.081984
Bangladesh,BGD,2007,14.901632
Bangladesh,BGD,2008,18.70714
Bangladesh,BGD,2009,8.519103
Bangladesh,BGD,2010,14.572278
Bangladesh,BGD,2011,17.199257
Bangladesh,BGD,2012,15.763239
Bangladesh,BGD,2013,15.300506
Bangladesh,BGD,2014,12.863498
Bangladesh,BGD,2015,18.868279
Bangladesh,BGD,2016,18.666649
Bangladesh,BGD,2017,21.258905
Bangladesh,BGD,2018,18.589115
Bangladesh,BGD,2019,18.478964
Bangladesh,BGD,2020,17.24893
Bangladesh,BGD,2021,19.76727
Bangladesh,BGD,2022,21.968452
Belarus,BLR,1985,5.8362236
Belarus,BLR,1986,5.79706
Belarus,BLR,1987,5.7581506
Belarus,BLR,1988,5.7231154
Belarus,BLR,1989,5.6932936
Belarus,BLR,1990,5.670956
Belarus,BLR,1991,5.08967
Belarus,BLR,1992,4.798521
Belarus,BLR,1993,5.360704
Belarus,BLR,1994,5.3633075
Belarus,BLR,1995,5.6529775
Belarus,BLR,1996,4.5333347
Belarus,BLR,1997,5.9703016
Belarus,BLR,1998,7.993826
Belarus,BLR,1999,5.4502563
Belarus,BLR,2000,7.784205
Belarus,BLR,2001,8.6395235
Belarus,BLR,2002,8.351539
Belarus,BLR,2003,8.067186
Belarus,BLR,2004,9.8008
Belarus,BLR,2005,10.663756
Belarus,BLR,2006,11.01998
Belarus,BLR,2007,14.907924
Belarus,BLR,2008,30.646965
Belarus,BLR,2009,57.020115
Belarus,BLR,2010,80.80804
Belarus,BLR,2011,77.13713
Belarus,BLR,2012,88.33494
Belarus,BLR,2013,95.75592
Belarus,BLR,2014,92.592
Belarus,BLR,2015,98.381546
Belarus,BLR,2016,118.53891
Belarus,BLR,2017,218.31895
Belarus,BLR,2018,198.35622
Belarus,BLR,2019,242.94302
Belarus,BLR,2020,399.47397
Belarus,BLR,2021,1809.0576
Belarus,BLR,2022,1540.5469
Belgium,BEL,1965,85.454025
Belgium,BEL,1966,95.19902
Belgium,BEL,1967,101.99331
Belgium,BEL,1968,93.61338
Belgium,BEL,1969,77.41082
Belgium,BEL,1970,92.33804
Belgium,BEL,1971,40.991146
Belgium,BEL,1972,58.08801
Belgium,BEL,1973,112.21152
Belgium,BEL,1974,151.23378
Belgium,BEL,1975,2054.1733
Belgium,BEL,1976,2965.309
Belgium,BEL,1977,3609.911
Belgium,BEL,1978,3774.9424
Belgium,BEL,1979,3471.0156
Belgium,BEL,1980,3803.8174
Belgium,BEL,1981,3915.5564
Belgium,BEL,1982,4623.8
Belgium,BEL,1983,7040.461
Belgium,BEL,1984,8085.7734
Belgium,BEL,1985,10039.806
Belgium,BEL,1986,11445.916
Belgium,BEL,1987,12203.921
Belgium,BEL,1988,12498.741
Belgium,BEL,1989,11923.532
Belgium,BEL,1990,12343.086
Belgium,BEL,1991,12343.357
Belgium,BEL,1992,12498.864
Belgium,BEL,1993,12000.045
Belgium,BEL,1994,11629.845
Belgium,BEL,1995,11827.304
Belgium,BEL,1996,12318.131
Belgium,BEL,1997,13424.516
Belgium,BEL,1998,13085.55
Belgium,BEL,1999,13860.864
Belgium,BEL,2000,13626.474
Belgium,BEL,2001,12995.319
Belgium,BEL,2002,13149.394
Belgium,BEL,2003,13031.47
Belgium,BEL,2004,12955.424
Belgium,BEL,2005,13058.016
Belgium,BEL,2006,12901.159
Belgium,BEL,2007,13297.061
Belgium,BEL,2008,12731.016
Belgium,BEL,2009,13409.555
Belgium,BEL,2010,13982.202
Belgium,BEL,2011,14310.829
Belgium,BEL,2012,12807.386
Belgium,BEL,2013,13496.139
Belgium,BEL,2014,11421.747
Belgium,BEL,2015,9970.187
Belgium,BEL,2016,13944.072
Belgium,BEL,2017,13913.593
Belgium,BEL,2018,11044.434
Belgium,BEL,2019,14747.075
Belgium,BEL,2020,13744.991
Belgium,BEL,2021,16951.967
Belgium,BEL,2022,15626.559
Brazil,BRA,1965,891.5651
Brazil,BRA,1966,948.7056
Brazil,BRA,1967,966.2828
Brazil,BRA,1968,985.56366
Brazil,BRA,1969,1028.3989
Brazil,BRA,1970,1275.7004
Brazil,BRA,1971,1349.1516
Brazil,BRA,1972,1546.081
Brazil,BRA,1973,1708.93
Brazil,BRA,1974,1884.4318
Brazil,BRA,1975,2021.4637
Brazil,BRA,1976,2254.3728
Brazil,BRA,1977,2513.7314
Brazil,BRA,1978,2739.7275
Brazil,BRA,1979,3066.5522
Brazil,BRA,1980,3323.2979
Brazil,BRA,1981,3279.3462
Brazil,BRA,1982,3506.6985
Brazil,BRA,1983,3764.5833
Brazil,BRA,1984,4111.765
Brazil,BRA,1985,4393.297
Brazil,BRA,1986,4436.1396
Brazil,BRA,1987,4445.163
Brazil,BRA,1988,4648.134
Brazil,BRA,1989,4738.9756
Brazil,BRA,1990,4669.352
Brazil,BRA,1991,4799.2886
Brazil,BRA,1992,4841.223
Brazil,BRA,1993,4986.0576
Brazil,BRA,1994,5084.808
Brazil,BRA,1995,5276.587
Brazil,BRA,1996,5445.271
Brazil,BRA,1997,5600.5815
Brazil,BRA,1998,5735.7764
Brazil,BRA,1999,5709.9785
Brazil,BRA,2000,5785.0767
Brazil,BRA,2001,5198.9243
Brazil,BRA,2002,5446.98
Brazil,BRA,2003,5664.5254
Brazil,BRA,2004,5833.684
Brazil,BRA,2005,6008.456
Brazil,BRA,2006,6143.356
Brazil,BRA,2007,6597.667
Brazil,BRA,2008,6699.0415
Brazil,BRA,2009,7011.6714
Brazil,BRA,2010,7311.252
Brazil,BRA,2011,7515.421
Brazil,BRA,2012,7284.8345
Brazil,BRA,2013,7076.392
Brazil,BRA,2014,7001.388
Brazil,BRA,2015,7047.424
Brazil,BRA,2016,7327.897
Brazil,BRA,2017,7276.478
Brazil,BRA,2018,7702.7476
Brazil,BRA,2019,8001.1655
Brazil,BRA,2020,7918.7393
Brazil,BRA,2021,7654.9424
Brazil,BRA,2022,8600.232
Bulgaria,BGR,1965,717.2736
Bulgaria,BGR,1966,715.3233
Bulgaria,BGR,1967,714.35455
Bulgaria,BGR,1968,457.305
Bulgaria,BGR,1969,638.78253
Bulgaria,BGR,1970,741.404
Bulgaria,BGR,1971,742.13196
Bulgaria,BGR,1972,712.04425
Bulgaria,BGR,1973,868.16345
Bulgaria,BGR,1974,996.94354
Bulgaria,BGR,1975,1636.4468
Bulgaria,BGR,1976,2571.342
Bulgaria,BGR,1977,3036.3506
Bulgaria,BGR,1978,2832.198
Bulgaria,BGR,1979,3044.9197
Bulgaria,BGR,1980,3170.4534
Bulgaria,BGR,1981,4073.5125
Bulgaria,BGR,1982,4404.5273
Bulgaria,BGR,1983,5009.5
Bulgaria,BGR,1984,5120.597
Bulgaria,BGR,1985,4920.242
Bulgaria,BGR,1986,4625.0903
Bulgaria,BGR,1987,4826.347
Bulgaria,BGR,1988,6016.6113
Bulgaria,BGR,1989,5598.1436
Bulgaria,BGR,1990,5379.3994
Bulgaria,BGR,1991,5116.894
Bulgaria,BGR,1992,4485.094
Bulgaria,BGR,1993,5270.9575
Bulgaria,BGR,1994,5597.979
Bulgaria,BGR,1995,6584.5195
Bulgaria,BGR,1996,7134.4683
Bulgaria,BGR,1997,7033.6
Bulgaria,BGR,1998,6934.9624
Bulgaria,BGR,1999,6494.8687
Bulgaria,BGR,2000,7345.842
Bulgaria,BGR,2001,7495.41
Bulgaria,BGR,2002,7905.3677
Bulgaria,BGR,2003,7183.081
Bulgaria,BGR,2004,7072.7188
Bulgaria,BGR,2005,8148.99
Bulgaria,BGR,2006,8413.576
Bulgaria,BGR,2007,6217.281
Bulgaria,BGR,2008,6626.877
Bulgaria,BGR,2009,6723.525
Bulgaria,BGR,2010,7491.7427
Bulgaria,BGR,2011,7193.4595
Bulgaria,BGR,2012,7631.2036
Bulgaria,BGR,2013,7700.5063
Bulgaria,BGR,2014,8494.875
Bulgaria,BGR,2015,8911.866
Bulgaria,BGR,2016,8478.065
Bulgaria,BGR,2017,8092.0063
Bulgaria,BGR,2018,9622.279
Bulgaria,BGR,2019,9169.452
Bulgaria,BGR,2020,9233.415
Bulgaria,BGR,2021,10431.708
Bulgaria,BGR,2022,10385.708
Canada,CAN,1965,17753.646
Canada,CAN,1966,19339.266
Canada,CAN,1967,19425.965
Canada,CAN,1968,19551.81
Canada,CAN,1969,21248.326
Canada,CAN,1970,21952.932
Canada,CAN,1971,22500.35
Canada,CAN,1972,25090.457
Canada,CAN,1973,27503
Canada,CAN,1974,29135.002
Canada,CAN,1975,27418.84
Canada,CAN,1976,29032.96
Canada,CAN,1977,30745.145
Canada,CAN,1978,32875.832
Canada,CAN,1979,34115.145
Canada,CAN,1980,34869.66
Canada,CAN,1981,36523.25
Canada,CAN,1982,34974.266
Canada,CAN,1983,36710.477
Canada,CAN,1984,39124.535
Canada,CAN,1985,41594.33
Canada,CAN,1986,43142.848
Canada,CAN,1987,43939.754
Canada,CAN,1988,42966.656
Canada,CAN,1989,40192.53
Canada,CAN,1990,39503.855
Canada,CAN,1991,41428.4
Canada,CAN,1992,41395.523
Canada,CAN,1993,43010.617
Canada,CAN,1994,44573.73
Canada,CAN,1995,43923.258
Canada,CAN,1996,45082.2
Canada,CAN,1997,43164.3
Canada,CAN,1998,40138.21
Canada,CAN,1999,41373.758
Canada,CAN,2000,42072.125
Canada,CAN,2001,39418.73
Canada,CAN,2002,40367.406
Canada,CAN,2003,38445.58
Canada,CAN,2004,39455.62
Canada,CAN,2005,41076.69
Canada,CAN,2006,40187.312
Canada,CAN,2007,40666.066
Canada,CAN,2008,41042.934
Canada,CAN,2009,39463.152
Canada,CAN,2010,37784.305
Canada,CAN,2011,39669.33
Canada,CAN,2012,39799.074
Canada,CAN,2013,40714.336
Canada,CAN,2014,39742.71
Canada,CAN,2015,39840.88
Canada,CAN,2016,39887.746
Canada,CAN,2017,39930.08
Canada,CAN,2018,38655.53
Canada,CAN,2019,37727.703
Canada,CAN,2020,37474.742
Canada,CAN,2021,36515.934
Canada,CAN,2022,36920.363
Chile,CHL,1965,1299.8345
Chile,CHL,1966,1345.2523
Chile,CHL,1967,1349.0912
Chile,CHL,1968,1110.6427
Chile,CHL,1969,1232.2445
Chile,CHL,1970,1296.856
Chile,CHL,1971,1445.3428
Chile,CHL,1972,1687.9465
Chile,CHL,1973,1620.8186
Chile,CHL,1974,1810.902
Chile,CHL,1975,1790.6846
Chile,CHL,1976,1827.527
Chile,CHL,1977,1901.8132
Chile,CHL,1978,1951.1672
Chile,CHL,1979,1974.7936
Chile,CHL,1980,2058.4136
Chile,CHL,1981,2100.9978
Chile,CHL,1982,2269.4165
Chile,CHL,1983,2428.879
Chile,CHL,1984,2480.9175
Chile,CHL,1985,2706.0913
Chile,CHL,1986,2866.6726
Chile,CHL,1987,3050.6733
Chile,CHL,1988,2955.2988
Chile,CHL,1989,2452.6738
Chile,CHL,1990,2211.9517
Chile,CHL,1991,3107.1895
Chile,CHL,1992,3995.3022
Chile,CHL,1993,4036.0212
Chile,CHL,1994,3935.5703
Chile,CHL,1995,4192.8433
Chile,CHL,1996,3793.4216
Chile,CHL,1997,4158.113
Chile,CHL,1998,3389.565
Chile,CHL,1999,2950.3496
Chile,CHL,2000,3961.202
Chile,CHL,2001,4450.168
Chile,CHL,2002,4676.036
Chile,CHL,2003,4475.823
Chile,CHL,2004,4178.0654
Chile,CHL,2005,4881.9653
Chile,CHL,2006,5195.802
Chile,CHL,2007,4352.228
Chile,CHL,2008,4786.5396
Chile,CHL,2009,4833.6
Chile,CHL,2010,4245.514
Chile,CHL,2011,4150.789
Chile,CHL,2012,4353.8335
Chile,CHL,2013,4441.646
Chile,CHL,2014,4721.6494
Chile,CHL,2015,5077.6196
Chile,CHL,2016,4842.0093
Chile,CHL,2017,5471.8364
Chile,CHL,2018,6093.088
Chile,CHL,2019,5841.1035
Chile,CHL,2020,5928.4907
Chile,CHL,2021,5958.0664
Chile,CHL,2022,7124.9253
China,CHN,1965,90.26859
China,CHN,1966,89.495544
China,CHN,1967,75.31707
China,CHN,1968,86.66061
China,CHN,1969,85.818375
China,CHN,1970,86.41278
China,CHN,1971,101.9526
China,CHN,1972,112.924576
China,CHN,1973,123.514275
China,CHN,1974,137.0211
China,CHN,1975,140.91653
China,CHN,1976,140.61176
China,CHN,1977,144.72818
China,CHN,1978,133.8227
China,CHN,1979,148.28004
China,CHN,1980,175.2486
China,CHN,1981,194.25414
China,CHN,1982,217.11359
China,CHN,1983,248.2776
China,CHN,1984,245.85036
China,CHN,1985,257.6671
China,CHN,1986,259.40524
China,CHN,1987,269.6542
China,CHN,1988,289.28363
China,CHN,1989,308.64734
China,CHN,1990,325.01965
China,CHN,1991,315.14822
China,CHN,1992,327.04276
China,CHN,1993,380.0897
China,CHN,1994,446.89902
China,CHN,1995,501.896
China,CHN,1996,489.83914
China,CHN,1997,508.71692
China,CHN,1998,510.9696
China,CHN,1999,504.3357
China,CHN,2000,565.63983
China,CHN,2001,687.1805
China,CHN,2002,720.8061
China,CHN,2003,744.20667
China,CHN,2004,907.0238
China,CHN,2005,1006.8459
China,CHN,2006,1093.1338
China,CHN,2007,1211.5161
China,CHN,2008,1560.4506
China,CHN,2009,1546.7856
China,CHN,2010,1788.942
China,CHN,2011,1805.7461
China,CHN,2012,2223.6787
China,CHN,2013,2415.6516
China,CHN,2014,2814.5295
China,CHN,2015,3048.703
China,CHN,2016,3341.5696
China,CHN,2017,3643.6594
China,CHN,2018,4015.2322
China,CHN,2019,4420.607
China,CHN,2020,4744.537
China,CHN,2021,5297.9844
China,CHN,2022,5707.223
Colombia,COL,1965,573.4036
Colombia,COL,1966,618.8964
Colombia,COL,1967,670.9573
Colombia,COL,1968,727.7727
Colombia,COL,1969,788.5357
Colombia,COL,1970,856.143
Colombia,COL,1971,887.34326
Colombia,COL,1972,960.77185
Colombia,COL,1973,1022.35516
Colombia,COL,1974,1135.3912
Colombia,COL,1975,1255.425
Colombia,COL,1976,1291.5249
Colombia,COL,1977,1289.4327
Colombia,COL,1978,1453.8987
Colombia,COL,1979,1559.741
